name,affiliation
Daniel S. Katz,University of Illinois Urbana-Champaign
Jeff Carver,University of Alabama
Sandra Gesing,University of Notre Dame
Nic Weber,University of Washington
Karthik Ram,"University of California, Berkeley"
Wolfgang Bangerth,Colorado State University
Anshu Dubey,Argonne National Laboratory
Katy Huff,University of Illinois Urbana-Champaign
Jarek Nabrzyski,Notre Dame University
Kyle Niemeyer,Oregon State University
Arfon Smith,Space Telescope Science Institute
Tracy Teal,The Carpentries
Mike Zentner,Purdue University
James Howison,"University of Texas, Austin"
Kurt Schwehr,Google
Nancy Wilkins-Diehr,"University of California, San Diego"
Meredith Lee,West Big Data Hub
Stefan Van Der Wait,Berkeley Institute for Data Science
Nathaniel Smith,Berkeley Institute for Data Science
Chris Holdgraf,Berkeley Institute for Data Science
Upulee Kanewala,Montana State University
David Bernholdt,Oak Ridge National Lab
Birgit Penzenstadler,California State University Long Beach
Michael Sevilla,"University of California, Santa Cruz"
Raymond Idaszak,RENCI
Bernie Boscoe,"University of California, Los Angeles"
Gina Helfrich,NumFOCUS
Chris Mentzel,Moore Foundation
Stuart Buck,Arnold Foundation
Rob Nagler,Radiasoft
Abby Cabunoc Mayes,Mozilla
Marcus Hanwell,Kitware
Peter Elmer,Princeton University
Mark Neubauer,University of Illinois Urbana-Champaign
Tom Cheatham,University of Utah
Elizabeth Jessup,University of Colorado
Salman Habib,Argonne National Laboratory
Peter Teuben,University of Maryland
Steve Brandt,Louisiana State University
Kyle Chard,University of Chicago
Todd Tannenbaum,University of Wisconsin
Dan Gunter,Lawrence Berkeley National Laboratory
Keith Beattie,Lawrence Berkeley National Laboratory
Bruce Childers,University of Pittsburgh
Erin Robinson,Federation of Earth Science Information Partners (ESIP)
Mary Haley,National Center for Atmospheric Research (NCAR)
Scott Pearse,National Center for Atmospheric Research (NCAR)
Chris Hill,Massachusetts Institute of Technology
Lorraine Hwang,"University of California, Davis"
Sean Cleveland,University of Hawaii
Matthew Vaughn,"University of Texas, Austin"
Anand Padmanabhan,University of Illinois
Carol Song,Purdue University
Steven G. Johnson,Massachusetts Institute of Technology
Ardavan Oskooi,Simpetus
Wil O’Mullane,Large Synoptic Survey Telescope (LSST)
Peter Couvares,Syracuse University
Ivan Rodero,Rutgers University
Stuart Geiger,"University of California, Berkeley"
Shantenu Jha,Rutgers University
Brian O’Connor,"University of California, Santa Cruz"
Kenneth Jansen,University of Colorado
M Pacer,"University of California, Berkeley"
Dan Sholler,"University of California, Berkeley"
Stina Krist,University of Illinois Urbana-Champaign
Jarad Bales,CUAHSI
Nathan Goldbaum,University of Illinois Urbana-Champaign
Christina Bandaragoda,University of Washington
